"","team","adjusted_off","seed"
"18","Virginia Tech",109.3,10
"3","USC",112,6
"10","North Carolina",108.8,8
"20","VCU",104.6,10
"14","Missouri",111.3,9
"11","LSU",119.3,8
"9","Oklahoma",111,8
