"","team","adjusted_off","seed"
"14","Missouri",111.3,9
"13","St. Bonaventure",111.1,9
"1","Texas Tech",112.3,6
"9","Oklahoma",111,8
"17","Rutgers",106.7,10
"8","Oregon",113.1,7
"5","Florida",110.6,7
"10","North Carolina",108.8,8
"16","Georgia Tech",113,9
"18","Virginia Tech",109.3,10
