"","team","adjusted_off","seed"
"4","Gonzaga",125.4,1
"18","Tennessee",108.8,5
"19","Creighton",114.4,5
"11","Kansas",108.5,3
"15","Purdue",112.4,4
"1","Michigan",118.1,1
"10","Texas",113.8,3
"12","Arkansas",110.4,3
"17","Villanova",117.9,5
"14","Virginia",114.6,4
