"","team","adjusted_off","seed"
"7","Houston",120.6,2
"16","Oklahoma St.",109.3,4
"15","Purdue",112.4,4
"10","Texas",113.8,3
"5","Iowa",123.5,2
"3","Illinois",117.7,1
"19","Creighton",114.4,5
"14","Virginia",114.6,4
"20","Colorado",113.7,5
"18","Tennessee",108.8,5
"6","Ohio St.",122.1,2
